Epoch,Train Loss,Test PSNR,Test SSIM,Learning Rate
1,0.6976344110789122,24.717073308707107,0.7745205005486995,0.001
2,0.6032473549798683,24.091497000773572,0.7778407478770852,0.001
3,0.5574240861115632,25.42275071813159,0.8006224150112837,0.001
4,0.5320057857919622,26.165043223847956,0.833490253038705,0.001
5,0.5122727823478205,27.11548999406798,0.8421037964336511,0.001
6,0.49773645787327375,27.25579527310237,0.8529514358476014,0.001
7,0.4883820756717964,27.776821301053857,0.862637238908936,0.001
8,0.47616044956224934,27.994375409796522,0.8704581563208255,0.001
9,0.46900201230137434,24.35289565231636,0.8150536036210558,0.001
10,0.4660249026837172,27.899345057095893,0.8780454334808452,0.001
11,0.45685377220312756,28.414669455708758,0.8863737661297229,0.001
12,0.44744771387841964,28.588540122223552,0.889544567283329,0.001
13,0.4425396692973596,28.87349735959609,0.8933694620046542,0.001
14,0.43764513455055376,29.394202504374906,0.8965042436702745,0.001
15,0.43415385871021833,29.01003830769371,0.8981100889948403,0.001
16,0.4306172353250009,29.588760044285845,0.9023038002136006,0.001
17,0.42756575290803556,27.824974903835507,0.8902981326463629,0.001
18,0.42333912739047297,29.746515987230286,0.9001780805554886,0.001
19,0.4210600538386239,29.684826701176874,0.9058132421129034,0.001
20,0.4156445645623737,29.030153749327376,0.8976152533362539,0.001
21,0.4141969101296531,29.15161183807591,0.9020061496968291,0.001
22,0.4139531155427297,29.765119887566183,0.9050604711199336,0.001
23,0.4074614484001089,29.59728323392843,0.9081037136414838,0.001
24,0.40659048435864625,30.04401825862117,0.9095850281586002,0.001
25,0.40478905097202017,29.638066728361448,0.9097862188609497,0.001
26,0.4132206522756153,30.05041546929267,0.9101036380192479,0.001
27,0.4066357347700331,29.354831781726,0.9053080628698947,0.001
28,0.3996400292272921,30.453503602908647,0.9131694128601922,0.001
29,0.39723371190053447,30.001389754395078,0.9110432641320425,0.001
30,0.3952713261047999,30.4219656665098,0.9128182395665823,0.001
31,0.3958270781570011,29.82422863122789,0.9116159130596497,0.001
32,0.3933570550547706,29.99383997358502,0.9128011776434973,0.001
33,0.39183818410944055,30.36243531628975,0.9102223657442007,0.001
34,0.390940691585894,29.51278552948004,0.9098794765030912,0.001
35,0.3871799906094869,30.550507421149337,0.9145854903641897,0.001
36,0.3850009369629401,30.210370301846478,0.9131511759473745,0.001
37,0.38435449699560803,30.337573417384483,0.9122155472732012,0.001
38,0.3846640509587747,30.164809113935565,0.9132042924377084,0.001
39,0.38551877935727435,30.405790195889573,0.9152851938919394,0.001
40,0.3832912478182051,30.14478569502885,0.9144150028523386,0.001
41,0.37856582800547284,29.703545985946345,0.9099328114524184,0.001
42,0.3845496304609157,30.55355667427254,0.9151080779355266,0.001
43,0.37938991796087335,30.732168433255797,0.917950827886105,0.001
44,0.3797320381358818,30.153583715722153,0.9123794377958433,0.001
45,0.37670860798270617,30.538078983076858,0.9181120566552735,0.001
46,0.37492542520717337,30.50165414299257,0.916678909524145,0.001
47,0.37274468000288363,30.72069088869438,0.9186573135106272,0.001
48,0.373988871773084,30.721217313024166,0.9153045903048684,0.001
49,0.37500251719245203,30.84249324099829,0.9175429971203125,0.001
50,0.3695564893660722,30.685633593198727,0.9173099995127287,0.001
51,0.3681874529079155,31.147794083263797,0.9211363516545158,0.001
52,0.3693160756870552,30.239784566960324,0.9162053361344943,0.001
53,0.3746805257267422,11.869584036484495,0.5772201913860899,0.001
54,0.3866939141794487,30.75747533101769,0.9170375881321048,0.001
55,0.37775131232208675,30.535555232347292,0.9173772859140196,0.001
56,0.36935745841927,30.80478768010125,0.9191637481633859,0.001
57,0.36906314503263543,30.918851357586462,0.9197847385506773,0.001
58,0.36711364874133356,30.37000432452363,0.9171642988253625,0.001
59,0.3646792079563494,30.99771202242013,0.9198517633392869,0.001
60,0.36427486494735434,31.06382648733246,0.9214058457948451,0.001
61,0.36300305635840807,30.731975927648026,0.9190499745639722,0.001
62,0.36307419726142176,30.6089172416802,0.9200763656045547,0.001
63,0.36309050685829586,31.000321886701165,0.9204417790989828,0.001
64,0.361553853308713,30.994840033263355,0.9199651352432736,0.001
65,0.3603118834672151,29.73797368490534,0.9112714844244943,0.001
66,0.35931584846090386,30.584903633440728,0.9167441428528721,0.001
67,0.35744511860388295,29.90592325442858,0.9142982299250891,0.001
68,0.364855307119864,27.05006788431956,0.8877057299294377,0.001
69,0.3710280187703945,30.967206848552713,0.9186930930972743,0.001
70,0.3625285106676596,30.932128385857265,0.9186153538188471,0.001
71,0.35925472886474047,30.622278720216197,0.9203788701882196,0.001
72,0.35942443046304917,30.695632779075858,0.9120131091208444,0.001
73,0.35792324388468705,30.387246445620544,0.918321112260563,0.001
74,0.35463400571434583,30.435113558798882,0.9200896008790067,0.001
75,0.35397440526220536,30.115754233617288,0.9176046091201474,0.001
76,0.3538466874096129,30.247284996720143,0.9189861496652327,0.001
77,0.3506114118629032,30.55131444198598,0.9219725155817664,0.001
78,0.35135276670809146,30.54189824131754,0.9202117270363325,0.001
79,0.3514349962826128,31.098055404485095,0.9214429569163242,0.001
80,0.3505500676455321,29.8413605963011,0.9127058412515378,0.001
81,0.3503788378503587,30.8955019858519,0.9215679892168392,0.001
82,0.34967761900689864,31.064811262638365,0.9222685653856109,0.001
